age,county,median,upper,lower
60,Bucaramanga-San,-6.940533476574146,-6.6835075017299665,-7.216783325403667
60,Ibague-Tol,-6.8330994703114545,-6.587294250018458,-7.082700497386073
60,Cali-Val,-6.959125942126217,-6.805552851745431,-7.12659705433114
60,Buenaventura-Val,-7.620675467338572,-7.22391869328012,-8.05880770230705
65,Medellin-Ant,-7.157707653422676,-6.975236176112756,-7.348605654513603
65,Bello-Ant,-6.531582968491085,-6.205707418069324,-6.872901232439664
65,Barranquilla-Atl,-6.4496377885931055,-6.232876845213333,-6.658543787682507
65,Soledad-Atl,-7.434998145018419,-7.00515436775979,-7.8896385035184355
65,Cartagena-Bol,-6.509710617448317,-6.275269502443681,-6.7383766034529184
65,Manizales-Cal,-6.9902547578177,-6.657646531267926,-7.385899096085342
65,Valledupar-Ces,-6.0883555020852596,-5.801651170246845,-6.382832827273219
65,Monteria-Cor,-5.884377308607448,-5.625035818281783,-6.1518622607898115
65,Soacha-Cun,-6.7121333149084155,-6.393982820233963,-7.076453234480061
65,Santa Marta-Mag,-6.5151653449408204,-6.204699551942045,-6.851191174033812
65,Villavicencio-Met,-5.823232228936666,-5.564075990539076,-6.093500091864837
65,Pasto-Nar,-5.875180493693417,-5.637521502262404,-6.135444340531903
65,Cucuta-N.,-5.621326976002379,-5.420676681985698,-5.831437350290925
65,Pereira-Ris,-6.184597174285372,-5.938812396813722,-6.432013038046597
65,Bucaramanga-San,-6.217126342479108,-5.9686302654884305,-6.484121844404765
65,Ibague-Tol,-6.302947762011215,-6.056509317283374,-6.559385386090411
65,Cali-Val,-6.384484762292606,-6.23278532222054,-6.541698546587734
65,Buenaventura-Val,-7.15678101405469,-6.722099251082296,-7.662666913783755
70,Medellin-Ant,-6.534731602568888,-6.3626572469771006,-6.702811654987239
70,Bello-Ant,-6.111215860637135,-5.823941989187507,-6.422587748107243
70,Barranquilla-Atl,-6.004005826440963,-5.807758297456334,-6.1955483679255
70,Soledad-Atl,-6.837141336686739,-6.45066327968444,-7.260969194002206
70,Cartagena-Bol,-6.038976820610824,-5.8336569619994325,-6.255231360536164
70,Manizales-Cal,-6.36117697902379,-6.065746591477534,-6.683458324881701
70,Valledupar-Ces,-5.72336270601301,-5.471853582467597,-5.985761883183911
70,Monteria-Cor,-5.484783913406158,-5.247851637914944,-5.721149351198826
70,Soacha-Cun,-6.179845659549268,-5.889885693805268,-6.476217192565358
70,Santa Marta-Mag,-5.970710235926353,-5.697817326614255,-6.253289222476185
70,Villavicencio-Met,-5.5410662569208355,-5.2669603954257225,-5.9333394874723675
70,Pasto-Nar,-5.5776632407833135,-5.339181637043431,-5.827352954621315
70,Cucuta-N.,-5.313645303376056,-5.1013042754183715,-5.58303261461025
70,Pereira-Ris,-5.692024936053395,-5.478533157909695,-5.90396537549209
70,Bucaramanga-San,-5.984507958769347,-5.7352358726462604,-6.249304235214475
70,Ibague-Tol,-5.864114603620685,-5.643203061389058,-6.09535277458767
70,Cali-Val,-5.851484627965279,-5.6906811006106786,-6.00879324900924
70,Buenaventura-Val,-6.473422626394435,-6.135449916525496,-6.8418680552647455
75,Medellin-Ant,-6.230146798727672,-6.044208816966986,-6.423122305338756
