ano;edad;municipio;modelo;Mediana;LI95;LS95
2010;20-24;Popayan-Cauca;Bnegativo;0,407780942;0,160848099;1,046213428
2010;20-24;Valledupar-Cesar;Bnegativo;1,160238553;0,499478505;2,474076424
2010;20-24;Fuente De Oro-Meta;Bnegativo;0,49354814;0,093162929;2,014918505
2010;20-24;Mocoa-Putumayo;Bnegativo;0,425029205;0,100070504;1,55978429
2017;20-24;Medellin-Antioquia;Bnegativo;0,501100437;0,227638295;1,062233457
2017;20-24;Soledad-Atlantico;Bnegativo;0,213238841;0,055607519;0,786949611
2017;20-24;Bogota, D.C.;Bnegativo;0,38961872;0,206776166;0,703555461
2017;20-24;Popayan-Cauca;Bnegativo;0,802118884;0,261317329;2,287114047
2017;20-24;Valledupar-Cesar;Bnegativo;0,946437624;0,338027869;2,384026914
2017;20-24;Fuente De Oro-Meta;Bnegativo;0,619615113;0,121944269;3,331637731
2017;20-24;Mocoa-Putumayo;Bnegativo;0,460264509;0,08941316;2,198673174
